Company,Horizon,Paired,Elapsed,Base
Jacobs ,2019,1,1.00,2019
Deutsche Telekom ,2017,2,0.75,2017
Kering ,2015,3,0.71,2015
Capgemini Group ,2015,4,0.50,2015
AB InBev ,2016,5,0.44,2016
Decathlon ,2016,6,0.40,2016
Siemens Gamesa Renewable Energy ,2017,7,0.38,2017
Zalando ,2017,8,0.38,2017
Sodexo ,2017,9,0.38,2017
Atlassian Corporation ,2019,10,0.33,2019
Reckitt Benckiser Group ,2015,11,0.33,2015
Royal BAM Group ,2015,12,0.33,2015
Intuit ,2015,13,0.29,2015
Gap ,2017,14,0.23,2017
Henkel AG & Co. ,2017,15,0.23,2017
Elopak ,2017,16,0.23,2017
Ralph Lauren ,2020,17,0.20,2020
Pinsent Masons ,2019,18,0.18,2019
ITV ,2019,19,0.17,2019
KONE ,2018,20,0.17,2018
Nestlé ,2019,21,0.17,2019
Pernod Ricard ,2018,22,0.17,2018
Charles River Laboratories ,2018,23,0.17,2018
Novozymes ,2018,24,0.17,2018
PVH ,2018,25,0.17,2018
Robert Bosch ,2018,26,0.17,2018
STMicroelectronics ,2018,27,0.17,2018
Workspace Group ,2020,28,0.10,2020
McCain Foods ,2019,29,0.09,2019
AptarGroup ,2019,30,0.09,2019
Jacobs ,2020,1,1.00,2019
Deutsche Telekom ,2021,2,0.75,2017
Kering ,2022,3,0.71,2015
Capgemini Group ,2025,4,0.50,2015
AB InBev ,2025,5,0.44,2016
Decathlon ,2026,6,0.40,2016
Siemens Gamesa Renewable Energy ,2025,7,0.38,2017
Zalando ,2025,8,0.38,2017
Sodexo ,2025,9,0.38,2017
Atlassian Corporation ,2025,10,0.33,2019
Reckitt Benckiser Group ,2030,11,0.33,2015
Royal BAM Group ,2030,12,0.33,2015
Intuit ,2030,13,0.29,2015
Gap ,2030,14,0.23,2017
Henkel AG & Co. ,2030,15,0.23,2017
Elopak ,2030,16,0.23,2017
Ralph Lauren ,2025,17,0.20,2020
Pinsent Masons ,2030,18,0.18,2019
ITV ,2025,19,0.17,2019
KONE ,2030,20,0.17,2018
Nestlé ,2025,21,0.17,2019
Pernod Ricard ,2025,22,0.17,2018
Charles River Laboratories ,2030,23,0.17,2018
Novozymes ,2030,24,0.17,2018
PVH ,2030,25,0.17,2018
Robert Bosch ,2030,26,0.17,2018
STMicroelectronics ,2030,27,0.17,2018
Workspace Group ,2030,28,0.10,2020
McCain Foods ,2030,29,0.09,2019
AptarGroup ,2030,30,0.09,2019
